Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
APCAD damping effect,SCR,1.57394388072072,0.00216656504148859,-0.0269927659651816,-8.84077644237001e-05
APCAD damping effect,SCR,1.69960886210304,0.00242653774326339,-0.0302296616362225,-8.80681344593171e-05
APCAD damping effect,SCR,1.83530703954735,0.00269359900694332,-0.0335538019453169,-8.78316474401154e-05
APCAD damping effect,SCR,1.98183947172655,0.00297197188670831,-0.0370176867747473,-8.76444108916519e-05
APCAD damping effect,SCR,2.14007117450063,0.00326502028727463,-0.0406630596163387,-8.75060622321892e-05
APCAD damping effect,SCR,2.31093622731136,0.00357574502052724,-0.044527091318398,-8.73803646767798e-05
APCAD damping effect,SCR,2.49544328727582,0.0039070345112799,-0.048645500966558,-8.72912596063206e-05
APCAD damping effect,SCR,2.69468154352965,0.0042618151839472,-0.0530544231286062,-8.71865064889215e-05
APCAD damping effect,SCR,2.90982714697003,0.00464315352392161,-0.0577916703034395,-8.71187486977815e-05
APCAD damping effect,SCR,3.1421501533547,0.00505433896199946,-0.0628977533950051,-8.70418580299018e-05
APCAD damping effect,SCR,3.39302202074363,0.00549895613385964,-0.0684167669376825,-8.69903975989558e-05
APCAD damping effect,SCR,3.6639237055428,0.00598095898562064,-0.0743972933516411,-8.69336469329126e-05
APCAD damping effect,SCR,3.95645440494263,0.00650474634812169,-0.0808933214162967,-8.68781625877144e-05
APCAD damping effect,SCR,4.27234099736006,0.00707524700696195,-0.0879652775762547,-8.68376828265117e-05
APCAD damping effect,SCR,4.61344823661333,0.007698018657302,-0.0956812234549808,-8.67957038357473e-05
APCAD damping effect,SCR,4.98178976000797,0.00837936110223849,-0.104118223040387,-8.67589668548923e-05
APCAD damping effect,SCR,5.37953997531769,0.009126454095366,-0.113364006476169,-8.67255751797642e-05
APCAD damping effect,SCR,5.80904689683146,0.00994752250158273,-0.123518961872088,-8.6692232750242e-05
APCAD damping effect,SCR,6.27284600624134,0.010852040889469,-0.134698602457689,-8.6664776439942e-05
APCAD damping effect,SCR,6.773675220195,0.011850987650137,-0.147036631079575,-8.66368606007809e-05
APCAD damping effect,SCR,7.31449105287003,0.0129571639466711,-0.160688787895923,-8.66142677785342e-05
APCAD damping effect,SCR,7.89848606898155,0.0141856028900875,-0.175837790759997,-8.65917206642128e-05
APCAD damping effect,SCR,8.52910773025237,0.0155540987530602,-0.192699732104123,-8.65725772810841e-05
APCAD damping effect,SCR,9.21007874660097,0.0170839014411521,-0.211532485944809,-8.65537723750316e-05
APCAD damping effect,SCR,9.94541905218506,0.0188006438724845,-0.232646956409967,-8.65335590996864e-05
APCAD damping effect,SCR,10.7394695360308,0.0207356043491478,-0.256422426804852,-8.65193792293356e-05
APCAD damping effect,SCR,11.5969176673348,0.0229274687814564,-0.283328049149258,-8.65045912434043e-05
APCAD damping effect,SCR,12.5228251667119,0.0254248352229128,-0.313953493599934,-8.64896622157843e-05
APCAD damping effect,SCR,13.5226578867378,0.0282899175385045,-0.349054455789443,-8.64763183940093e-05
APCAD damping effect,SCR,14.6023180781789,0.0316042382042517,-0.389622920440382,-8.64631295788704e-05
APCAD damping effect,SCR,15.7681792323853,0.0354778030158024,-0.437000954506102,-8.64527593138088e-05
APCAD damping effect,SCR,17.0271237055285,0.0400650306789161,-0.493079192502534,-8.64420810235689e-05
APCAD damping effect,SCR,18.3865833467897,0.0455950764560576,-0.560676111017202,-8.64331830688052e-05
APCAD damping effect,SCR,19.8545833703362,0.0524383993531491,-0.644371886962697,-8.64244219362549e-05
APCAD damping effect,SCR,21.439789730073,0.0612888958906225,-0.752783754331281,-8.64162523675181e-05
APCAD damping effect,SCR,23.1515602768328,0.0739102522142086,-0.907781489289868,-8.64083418886524e-05
APCAD damping effect,SCR,25,0.0978517728230688,-1.19440499894275,-8.64015399958673e-05
Synchronization effect (PLL to GFM),XR,1,3.03750080643539e-15,-3.77475828372553e-14,0.26779670366486
Synchronization effect (PLL to GFM),XR,1.48717948717949,2.91260071616506e-15,-3.59712259978551e-14,-6.33798569182886e-14
Synchronization effect (PLL to GFM),XR,1.97435897435897,7.02909952465802e-15,-8.77076189453874e-14,-8.49390002777284e-14
Synchronization effect (PLL to GFM),XR,2.46153846153846,-8.67361737988404e-18,-2.77555756156289e-16,-4.50195436485501e-14
Synchronization effect (PLL to GFM),XR,2.94871794871795,1.38083988687754e-15,-1.73194791841524e-14,-2.97435687190983e-14
Synchronization effect (PLL to GFM),XR,3.43589743589744,2.13370987545147e-15,-2.6256774532385e-14,-6.91738333280512e-14
Synchronization effect (PLL to GFM),XR,3.92307692307692,2.71831168685566e-15,-3.4028335704761e-14,-3.57214258173144e-14
Synchronization effect (PLL to GFM),XR,4.41025641025641,3.40005801291454e-15,-4.19941859064465e-14,-4.60187443707127e-14
Synchronization effect (PLL to GFM),XR,4.8974358974359,7.61890550649014e-15,-9.5062846483529e-14,-9.93042453822923e-14
Synchronization effect (PLL to GFM),XR,5.38461538461539,-1.67400815431762e-15,2.15938378289593e-14,-5.37486721796654e-14
Synchronization effect (PLL to GFM),XR,5.87179487179487,4.48599490887602e-15,-5.5649929109336e-14,-6.80948353259936e-14
Synchronization effect (PLL to GFM),XR,6.35897435897436,6.01602101468757e-15,-7.50510764646606e-14,-5.43211309267377e-14
Synchronization effect (PLL to GFM),XR,6.84615384615385,4.70803951380105e-15,-5.72875080706581e-14,-1.44849410244063e-15
Synchronization effect (PLL to GFM),XR,7.33333333333333,5.03763697423665e-15,-6.28386231937839e-14,-4.91343077335671e-14
Synchronization effect (PLL to GFM),XR,7.82051282051282,-4.45823933326039e-15,5.61772850460329e-14,-5.61443252999894e-14
Synchronization effect (PLL to GFM),XR,8.30769230769231,2.62984078958084e-15,-3.23074900165921e-14,-5.0190754330437e-14
Synchronization effect (PLL to GFM),XR,8.7948717948718,-5.08794395503998e-15,6.46149800331841e-14,-5.05324948552044e-14
Synchronization effect (PLL to GFM),XR,9.28205128205128,-3.01841884819964e-16,4.44089209850063e-15,-2.79637424327461e-15
Synchronization effect (PLL to GFM),XR,9.76923076923077,8.46545056276682e-16,-1.06581410364015e-14,-6.18498308124771e-14
Synchronization effect (PLL to GFM),XR,10.2564102564103,-3.29597460435593e-16,4.71844785465692e-15,-4.93320662098284e-14
Synchronization effect (PLL to GFM),XR,10.7435897435897,3.96557786608298e-15,-5.08482145278322e-14,-6.12947193001645e-14
Synchronization effect (PLL to GFM),XR,11.2307692307692,-7.50094431012371e-15,9.50350909079134e-14,1.38031946983475e-14
Synchronization effect (PLL to GFM),XR,11.7179487179487,9.53750967092049e-15,-1.19459997449667e-13,-7.06136538131119e-14
Synchronization effect (PLL to GFM),XR,12.2051282051282,5.57887069874141e-15,-6.99440505513849e-14,-4.27470558950205e-14
Synchronization effect (PLL to GFM),XR,12.6923076923077,1.5629858518551e-15,-1.87627691161651e-14,1.28213412109446e-14
Synchronization effect (PLL to GFM),XR,13.1794871794872,4.5553838479151e-15,-5.6399329650958e-14,-5.41823530486596e-14
Synchronization effect (PLL to GFM),XR,13.6666666666667,9.12464548363801e-16,-1.08246744900953e-14,-3.72132880066545e-14
Synchronization effect (PLL to GFM),XR,14.1538461538462,4.76875483546024e-15,-5.88973314563646e-14,-5.41372502382842e-14
Synchronization effect (PLL to GFM),XR,14.6410256410256,-3.46944695195361e-15,4.39648317751562e-14,-5.64184116091937e-14
Synchronization effect (PLL to GFM),XR,15.1282051282051,4.22925583443146e-15,-5.30686605770825e-14,-4.31651242527309e-14
Synchronization effect (PLL to GFM),XR,15.6153846153846,6.22592255528076e-15,-7.70494779089859e-14,-2.31446806164826e-14
Synchronization effect (PLL to GFM),XR,16.1025641025641,1.38656447434826e-14,-1.73194791841524e-13,-5.40106154245379e-14
Synchronization effect (PLL to GFM),XR,16.5897435897436,1.18984683217249e-14,-1.48742129724155e-13,-3.64343971659409e-14
Synchronization effect (PLL to GFM),XR,17.0769230769231,9.1402579949218e-15,-1.14797060746241e-13,-6.8065345026902e-14
Synchronization effect (PLL to GFM),XR,17.5641025641026,-2.77555756156289e-16,4.21884749357559e-15,-3.89965837399586e-14
Synchronization effect (PLL to GFM),XR,18.0512820512821,9.82894321488459e-15,-1.23234755733392e-13,-4.34183938802235e-14
Synchronization effect (PLL to GFM),XR,18.5384615384615,-3.85282084014449e-15,4.85167461761193e-14,-2.95336671785051e-14
Synchronization effect (PLL to GFM),XR,19.025641025641,9.48199851968923e-15,-1.18127729820117e-13,-6.2300858916231e-14
Synchronization effect (PLL to GFM),XR,19.5128205128205,9.67975699595058e-16,-1.19904086659517e-14,-3.10550196669368e-14
Synchronization effect (PLL to GFM),XR,20,4.16160161886836e-15,-5.21804821573824e-14,-8.26786555885306e-14
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,1,-0.00556007009246181,0.0697956550170089,-0.267814060575691
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,1.48717948717949,-0.00559476598847759,0.0702251397044568,-2.09181139606534e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,1.97435897435897,-0.00560641983623138,0.0703680307047869,-2.30369148248727e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,2.46153846153846,-0.00561038383160433,0.070415740463208,-2.43841873889226e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,2.94871794871795,-0.00561153816785846,0.0704289007790814,-2.52898196762275e-05
