Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
DVC type effect (Type a to Type c),XR,14.1538461538462,3.6987680418675e-05,-0.000465459103274224,-0.000465459103274224
DVC type effect (Type a to Type c),XR,14.6410256410256,3.6947161514745e-05,-0.000464952030580168,-0.000464952030580168
DVC type effect (Type a to Type c),XR,15.1282051282051,3.69092300176004e-05,-0.000464477315294476,-0.000464477315294476
DVC type effect (Type a to Type c),XR,15.6153846153846,3.68736548318205e-05,-0.000464032070143172,-0.000464032070143172
DVC type effect (Type a to Type c),XR,16.1025641025641,3.68402314695239e-05,-0.000463613740553259,-0.000463613740553259
DVC type effect (Type a to Type c),XR,16.5897435897436,3.68087410835046e-05,-0.000463219587043762,-0.000463219587043762
DVC type effect (Type a to Type c),XR,17.0769230769231,3.67790405398829e-05,-0.00046284782311079,-0.00046284782311079
DVC type effect (Type a to Type c),XR,17.5641025641026,3.67509880904275e-05,-0.000462496677712254,-0.000462496677712254
DVC type effect (Type a to Type c),XR,18.0512820512821,3.67244422200767e-05,-0.00046216438017721,-0.00046216438017721
DVC type effect (Type a to Type c),XR,18.5384615384615,3.66992610784673e-05,-0.00046184915344849,-0.00046184915344849
DVC type effect (Type a to Type c),XR,19.025641025641,3.6675399352426e-05,-0.000461550439747382,-0.000461550439747382
DVC type effect (Type a to Type c),XR,19.5128205128205,3.66527211257718e-05,-0.000461266533551552,-0.000461266533551552
DVC type effect (Type a to Type c),XR,20,3.66311200592686e-05,-0.000460996102160632,-0.000460996102160632
APCAD damping effect after Type c,XR,1,0.0394676274430911,-0.488480217919643,-0.380457530207725
APCAD damping effect after Type c,XR,1.48717948717949,0.0338473753472289,-0.419316743259996,-0.377272427920051
APCAD damping effect after Type c,XR,1.97435897435897,0.0308031508803406,-0.382017634986737,-0.374897293667149
APCAD damping effect after Type c,XR,2.46153846153846,0.0289587297486727,-0.359446215387865,-0.359446215387865
APCAD damping effect after Type c,XR,2.94871794871795,0.0277392783947893,-0.344527661093989,-0.344527661093989
APCAD damping effect after Type c,XR,3.43589743589744,0.0268792863215659,-0.334006883699173,-0.334006883699173
APCAD damping effect after Type c,XR,3.92307692307692,0.0262427077271446,-0.326218609214994,-0.326218609214994
APCAD damping effect after Type c,XR,4.41025641025641,0.025753617055271,-0.320234093309927,-0.320234093309927
APCAD damping effect after Type c,XR,4.8974358974359,0.0253666387211286,-0.315498443453251,-0.315498443453251
APCAD damping effect after Type c,XR,5.38461538461539,0.0250531160756969,-0.311661253036703,-0.311661253036703
APCAD damping effect after Type c,XR,5.87179487179487,0.0247941169048177,-0.308491022820089,-0.308491022820089
APCAD damping effect after Type c,XR,6.35897435897436,0.0245766569099044,-0.30582897531997,-0.30582897531997
APCAD damping effect after Type c,XR,6.84615384615385,0.0243915472847858,-0.303562737471409,-0.303562737471409
APCAD damping effect after Type c,XR,7.33333333333333,0.0242321090973836,-0.30161062325868,-0.30161062325868
APCAD damping effect after Type c,XR,7.82051282051282,0.0240933748841848,-0.299911873070209,-0.299911873070209
APCAD damping effect after Type c,XR,8.30769230769231,0.0239715758588506,-0.29842038481708,-0.29842038481708
APCAD damping effect after Type c,XR,8.7948717948718,0.023863802054996,-0.297100558846671,-0.297100558846671
APCAD damping effect after Type c,XR,9.28205128205128,0.023767771694731,-0.295924478208286,-0.295924478208286
APCAD damping effect after Type c,XR,9.76923076923077,0.0236816710212679,-0.294869950289367,-0.294869950289367
APCAD damping effect after Type c,XR,10.2564102564103,0.0236040403931674,-0.293919113938525,-0.293919113938525
APCAD damping effect after Type c,XR,10.7435897435897,0.0235336920431462,-0.293057433807974,-0.293057433807974
APCAD damping effect after Type c,XR,11.2307692307692,0.0234696498842286,-0.292272964174095,-0.292272964174095
APCAD damping effect after Type c,XR,11.7179487179487,0.0234111044301738,-0.291555797592531,-0.291555797592531
APCAD damping effect after Type c,XR,12.2051282051282,0.0233573787008298,-0.290897647884187,-0.290897647884187
APCAD damping effect after Type c,XR,12.6923076923077,0.0233079022361254,-0.290291532285484,-0.290291532285484
APCAD damping effect after Type c,XR,13.1794871794872,0.0232621911702697,-0.289731527639668,-0.289731527639668
APCAD damping effect after Type c,XR,13.6666666666667,0.0232198321261791,-0.289212573443264,-0.289212573443264
APCAD damping effect after Type c,XR,14.1538461538462,0.023180470047373,-0.288730322921615,-0.288730322921615
APCAD damping effect after Type c,XR,14.6410256410256,0.0231437983209846,-0.288281022195268,-0.288281022195268
APCAD damping effect after Type c,XR,15.1282051282051,0.0231095506382973,-0.287861410690699,-0.287861410690699
APCAD damping effect after Type c,XR,15.6153846153846,0.0230774946488036,-0.287468643499127,-0.287468643499127
APCAD damping effect after Type c,XR,16.1025641025641,0.0230474267895362,-0.28710022808442,-0.28710022808442
APCAD damping effect after Type c,XR,16.5897435897436,0.023019167885815,-0.286753970453925,-0.286753970453925
APCAD damping effect after Type c,XR,17.0769230769231,0.0229925597144124,-0.28642793309113,-0.28642793309113
APCAD damping effect after Type c,XR,17.5641025641026,0.0229674618145511,-0.286120395945117,-0.286120395945117
APCAD damping effect after Type c,XR,18.0512820512821,0.0229437493431198,-0.285829830150714,-0.285829830150714
APCAD damping effect after Type c,XR,18.5384615384615,0.0229213107754293,-0.285554869918095,-0.285554869918095
APCAD damping effect after Type c,XR,19.025641025641,0.0229000462347823,-0.285294292062093,-0.285294292062093
APCAD damping effect after Type c,XR,19.5128205128205,0.022879866038506,-0.28504699821017,-0.28504699821017
APCAD damping effect after Type c,XR,20,0.0228606893448125,-0.284811998244511,-0.284811998244511
DVC type effect (Type a to Type c),C_dc,0.000375,9.72970894471022e-06,-0.000122396283381843,-0.000122396283381843
DVC type effect (Type a to Type c),C_dc,0.000442307692307692,1.1480437926795e-05,-0.00014441956930189,-0.00014441956930189
DVC type effect (Type a to Type c),C_dc,0.000509615384615385,1.32325002854348e-05,-0.000166459547032149,-0.000166459547032149
DVC type effect (Type a to Type c),C_dc,0.000576923076923077,1.49859043617178e-05,-0.000188516322698229,-0.000188516322698229
DVC type effect (Type a to Type c),C_dc,0.000644230769230769,1.67406561981664e-05,-0.000210589971388453,-0.000210589971388453
