Sweep,Value,Model,MaxReal,DominantFrequencyHz,DominantSigma,Sigma,Omega,FrequencyHz,DampingRatio,Stable
SCR,2.69468154352965,GFM-MWT-TypeC+AD,-0.0198055075890372,1.97678389786623,-0.0198055075890372,-0.0198055075890372,12.4204995425423,1.97678389786623,0.00159458018106205,1
SCR,2.90982714697003,GFM-MWT-TypeC+AD,-0.0335980215043536,1.97452126452411,-0.0335980215043536,-0.0335980215043536,12.4062829979716,1.97452126452411,0.00270813573297421,1
SCR,3.1421501533547,GFM-MWT-TypeC+AD,-0.0477075106318756,1.97213834013134,-0.0477075106318756,-0.0477075106318756,12.3913106424388,1.97213834013134,0.00385004931486648,1
SCR,3.39302202074363,GFM-MWT-TypeC+AD,-0.0622173135683575,1.96961049241755,-0.0622173135683575,-0.0622173135683575,12.3754277068247,1.96961049241755,0.00502742440634174,1
SCR,3.6639237055428,GFM-MWT-TypeC+AD,-0.0771765652969683,1.96691491132825,-0.0771765652969683,-0.0771765652969683,12.3584908713301,1.96691491132825,0.00624469939628488,1
SCR,3.95645440494263,GFM-MWT-TypeC+AD,-0.0926071806065685,1.96402939830594,-0.0926071806065685,-0.0926071806065685,12.3403606583047,1.96402939830594,0.00750420312962782,1
SCR,4.27234099736006,GFM-MWT-TypeC+AD,-0.10850586726951,1.96093178212292,-0.10850586726951,-0.10850586726951,12.3208977618162,1.96093178212292,0.00880631118850794,1
SCR,4.61344823661333,GFM-MWT-TypeC+AD,-0.124843339972476,1.95759972736003,-0.124843339972476,-0.124843339972476,12.2999618442873,1.95759972736003,0.0101493737415053,1
SCR,4.98178976000797,GFM-MWT-TypeC+AD,-0.141561804262673,1.9540108634186,-0.141561804262673,-0.141561804262673,12.277412347101,1.9540108634186,0.0115294975106635,1
SCR,5.37953997531769,GFM-MWT-TypeC+AD,-0.158571396670038,1.95014323921561,-0.158571396670038,-0.158571396670038,12.2531113475351,1.95014323921561,0.0129402333216036,1
SCR,5.80904689683146,GFM-MWT-TypeC+AD,-0.175746270671026,1.94597614747272,-0.175746270671026,-0.175746270671026,12.2269287379225,1.94597614747272,0.0143722207237307,1
SCR,6.27284600624134,GFM-MWT-TypeC+AD,-0.192921212313928,1.9414913720694,-0.192921212313928,-0.192921212313928,12.1987500630024,1.9414913720694,0.0158128570695953,1
SCR,6.773675220195,GFM-MWT-TypeC+AD,-0.195464716130735,0,-0.195464716130735,-0.209890031569322,12.1684871476147,1.93667487949307,0.0172460892762242,1
SCR,7.31449105287003,GFM-MWT-TypeC+AD,-0.195181975872168,0,-0.195181975872168,-0.226407290173064,12.1360912026157,1.93151890471035,0.0186524555413672,1
SCR,7.89848606898155,GFM-MWT-TypeC+AD,-0.194926277708631,0,-0.194926277708631,-0.242195077840991,12.1015671783312,1.92602423559005,0.0200095230859872,1
SCR,8.52910773025237,GFM-MWT-TypeC+AD,-0.194694305606985,0,-0.194694305606985,-0.256956104005796,12.0649870523469,1.92020232772072,0.0212928407015511,1
SCR,9.21007874660097,GFM-MWT-TypeC+AD,-0.194483295279254,0,-0.194483295279254,-0.270393127527975,12.0264987663297,1.91407672674996,0.0224774323865211,1
SCR,9.94541905218506,GFM-MWT-TypeC+AD,-0.194290907964457,0,-0.194290907964457,-0.282232754091298,11.9863273532726,1.90768324779094,0.0235396998505349,1
SCR,10.7394695360308,GFM-MWT-TypeC+AD,-0.194115156729143,0,-0.194115156729143,-0.292249558731963,11.9447660892422,1.90106856717934,0.0244594261908317,1
SCR,11.5969176673348,GFM-MWT-TypeC+AD,-0.193954328425093,0,-0.193954328425093,-0.3002854428371,11.9021580451599,1.89428728634816,0.0252214696978495,1
SCR,12.5228251667119,GFM-MWT-TypeC+AD,-0.193806946642136,0,-0.193806946642136,-0.306259998599488,11.8588714193838,1.88739800588614,0.0258167837939434,1
SCR,13.5226578867378,GFM-MWT-TypeC+AD,-0.193671713333282,0,-0.193671713333282,-0.310170251875083,11.8152737501031,1.88045922131282,0.0262425938650261,1
