Model,Parameter,Value,Sigma,FrequencyHz,DampingRatio,MaxReal,Stable
GFM-MWT+AD,h,10108.1169714799,-0.0951757853240158,1.99692316541898,0.00758529981434132,-0.0153588145646714,1
GFM-MWT+AD,h,11341.4937802433,-0.094658087497703,1.99696328299548,0.00754389125010884,-0.015358291222269,1
GFM-MWT+AD,h,12725.3653207839,-0.0941969900716893,1.99699886015376,0.00750701187217915,-0.0153577073364802,1
GFM-MWT+AD,h,14278.0947276538,-0.0937862772394834,1.99703042761026,0.00747416387993167,-0.0153570492872406,1
GFM-MWT+AD,h,16020.2857766991,-0.0934204212653917,1.99705845064219,0.00744490466431739,-0.0153563078041582,1
GFM-MWT+AD,h,17975.0562846477,-0.0930945052083094,1.99708333783388,0.00741884059094488,-0.0153554832917952,1
GFM-MWT+AD,h,20168.3448684912,-0.0928041545665117,1.99710544852378,0.00739562150480147,-0.0140853504658267,1
GFM-MWT+AD,h,22629.2551351734,-0.0925454768355329,1.99712509915879,0.00737493587418751,-0.0117208806414445,1
GFM-MWT+AD,h,25390.4418687721,-0.0923150077951303,1.99714256876347,0.00735650647771512,-0.00961388795408342,1
GFM-MWT+AD,h,28488.5443396435,-0.0921096639775907,1.99715810362982,0.00734008658953756,-0.00773633816065003,1
GFM-MWT+AD,h,31964.6724852797,-0.0919267004112996,1.99717192138114,0.00732545658942369,-0.00606326074994089,1
GFM-MWT+AD,h,35864.9524142021,-0.0917636732266464,1.99718421447583,0.00731242096405124,-0.00457241313162879,1
GFM-MWT+AD,h,40241.1384713965,-0.0916184063330879,1.99719515326084,0.0073008056356969,-0.00324396238977027,1
GFM-MWT+AD,h,45151.2999870275,-0.0914889619443986,1.99720488861585,0.0072904556001137,-0.00206026914399307,1
GFM-MWT+AD,h,50660.5918211689,-0.0913736142917521,1.99721355426976,0.00728123282044991,-0.00100559246253161,1
GFM-MWT,mp,1.5707963267949e-08,-0.0903672094844077,1.99735080432656,0.00720054544193949,-0.0199142989941485,1
GFM-MWT,mp,1.76246246661361e-08,-0.0903564610792553,1.99735883358845,0.00719966010234728,-0.0190557187681931,1
GFM-MWT,mp,1.97751541255503e-08,-0.0903435846588327,1.99736780748248,0.00719860181339638,-0.0184182335876635,1
GFM-MWT,mp,2.2188087865533e-08,-0.0903281170743523,1.99737782844891,0.00719733330806551,-0.0179237190463925,1
GFM-MWT,mp,2.48954440508015e-08,-0.0903094903101014,1.99738900663737,0.00719580893786232,-0.0175287767757669,1
GFM-MWT,mp,2.79331476530414e-08,-0.0902870085419079,1.99740145905295,0.00719397284865116,-0.0172067408442879,1
GFM-MWT,mp,3.1341507153454e-08,-0.0902598210491329,1.99741530794298,0.00719175682906102,-0.0169400626275982,1
GFM-MWT,mp,3.51657494118124e-08,-0.0902268908311749,1.99743067811635,0.00718907782076919,-0.0167165614723699,1
GFM-MWT,mp,3.94566197994119e-08,-0.090186959107772,1.9974476927852,0.0071858351064862,-0.0165274637983315,1
