Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0251188643150958,12.7253653207839,3.94566197994119e-08,1718.2491922938,0.11572572553206,2.00016321088023,-0.00920801878660027,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.034145488738336,12.7253653207839,5.36356082867947e-08,1718.24910745192,0.11561960574225,2.00035252983031,-0.00919870520417642,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0464158883361278,12.7253653207839,7.29099069033116e-08,1718.24903909022,0.115474775838029,2.00060974762536,-0.0091860024046841,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0630957344480193,12.7253653207839,9.9110547907375e-08,1718.24898584215,0.115276847328639,2.0009591508887,-0.00916865738784866,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0857695898590894,12.7253653207839,1.34726556701362e-07,1718.24894520646,0.115005871054373,2.00143365847267,-0.00914493837900435,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.116591440117983,12.7253653207839,1.83141405873055e-07,1718.2489145849,0.114634030592268,2.00207784376649,-0.00911244044431681,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.158489319246111,12.7253653207839,2.48954440508015e-07,1718.2488916916,0.114122278550334,2.00295197715142,-0.00906780502366848,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.215443469003188,12.7253653207839,3.38417809742158e-07,1718.24887466404,0.113415390969207,2.00413740190162,-0.00900631263479263,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.292864456462524,12.7253653207839,4.60030412460116e-07,1718.2488620422,0.112434673467445,2.00574362832365,-0.00892129067870614,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.398107170553497,12.7253653207839,6.25345281176143e-07,1718.24885270704,0.11106727640717,2.00791759976061,-0.00880326019740502,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.541169526546464,12.7253653207839,8.50067104472518e-07,1718.24884581342,0.109150925311627,2.01085563545727,-0.00863874102840022,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.735642254459641,12.7253653207839,1.15554415114032e-06,1718.24884072858,0.106453364071764,2.01481857247611,-0.00840868768552808,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,1,12.7253653207839,1.5707963267949e-06,1718.24883698059,0.102648357893646,2.020150615123,-0.00808675315813237,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,1.35935639087853,12.7253653207839,2.13527202559716e-06,1718.24883421924,0.0972982286615851,2.02730244071987,-0.00763824972237135,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,1.84784979742229,12.7253653207839,2.90259567425963e-06,1718.24883218608,0.0898748134575424,2.03685948031056,-0.00702241281683509,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,2.51188643150958,12.7253653207839,3.94566197994119e-06,1718.24883068924,0.0799050148000489,2.04957740262475,-0.00620470994021783,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,3.4145488738336,12.7253653207839,5.36356082867947e-06,1718.24882958734,0.0674556617140334,2.06642758988923,-0.0051953221900967,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,4.64158883361278,12.7253653207839,7.29099069033116e-06,1718.24882877642,0.0544659202307818,2.08864304473273,-0.00415027632394124,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,6.30957344480193,12.7253653207839,9.9110547907375e-06,1718.24882817992,0.0479927574629793,2.11765857066512,-0.00360692464867127,0
