Model,Scan,Value,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT+AD,K_damp,-11333333.3333333,1718.24855511354,-0.101744111835779,1.95697822565349,0.00827424842674922,0
GFM-MWT+AD,K_damp,-11166666.6666667,1718.24855511389,-0.0984229805180767,1.95775749726745,0.00800099220085115,0
GFM-MWT+AD,K_damp,-11000000,1718.24855511352,-0.0950877953218114,1.95853211875757,0.00772682803180845,0
GFM-MWT+AD,K_damp,-10833333.3333333,1718.24855511409,-0.0917390838156614,1.95930209554709,0.00745179791695955,0
GFM-MWT+AD,K_damp,-10666666.6666667,1718.24855511361,-0.0883773656688564,1.96006743495062,0.00717594313216446,0
GFM-MWT+AD,K_damp,-10500000,1718.24855511364,-0.0850031524179607,1.96082814608164,0.00689930421685692,0
GFM-MWT+AD,K_damp,-10333333.3333333,1718.24855511359,-0.0816169472703622,1.96158423980715,0.00662192096185385,0
GFM-MWT+AD,K_damp,-10166666.6666667,1718.24855511369,-0.0782192448918395,1.9623357286633,0.0063438323959695,0
GFM-MWT+AD,K_damp,-10000000,1718.24855511377,-0.074810531269402,1.96308262675216,0.00606507677872777,0
GFM-MWT+AD,K_damp,-9833333.33333333,1718.24855511377,-0.0713912835726047,1.96382494970636,0.00578569159265644,0
GFM-MWT+AD,K_damp,-9666666.66666667,1718.2485551136,-0.0679619699999092,1.96456271460003,0.00550571353448366,0
GFM-MWT+AD,K_damp,-9500000,1718.24855511302,-0.0645230497508882,1.96529593986591,0.00522517851642665,0
GFM-MWT+AD,K_damp,-9333333.33333333,1718.24855511365,-0.0610749728932767,1.96602464523909,0.00494412165880131,0
GFM-MWT+AD,K_damp,-9166666.66666667,1718.24855511382,-0.0576181803450044,1.96674885168004,0.00466257729192567,0
GFM-MWT+AD,K_damp,-9000000,1718.24855511406,-0.0541531038019587,1.96746858131485,0.00438057895349718,0
GFM-MWT+AD,K_damp,-8833333.33333333,1718.24855511333,-0.0506801657462659,1.96818385737053,0.0040981593924167,0
GFM-MWT+AD,K_damp,-8666666.66666667,1718.24855511369,-0.0471997794189973,1.96889470408601,0.00381535056969095,0
GFM-MWT+AD,K_damp,-8500000,1718.24855511367,-0.043712348859241,1.96960114667083,0.003532183664504,0
GFM-MWT+AD,K_damp,-8333333.33333333,1718.24855511412,-0.0402182688610546,1.97030321125768,0.00324868907358767,0
GFM-MWT+AD,K_damp,-8166666.66666667,1718.24855511385,-0.0367179251041132,1.97100092480716,0.00296489642461967,0
GFM-MWT+AD,K_damp,-8000000,1718.24855511383,-0.0332116941278562,1.97169431507734,0.00268083457676072,0
GFM-MWT+AD,K_damp,-7833333.33333333,1718.24855511368,-0.029699943426897,1.97238341055045,0.00239653163097179,0
GFM-MWT+AD,K_damp,-7666666.66666667,1718.24855511389,-0.0261830315103979,1.97306824039812,0.00211201493726858,0
GFM-MWT+AD,K_damp,-7500000,1718.24855511363,-0.0226613079741335,1.97374883440619,0.00182731110296254,0
GFM-MWT+AD,K_damp,-7333333.33333333,1718.24855511379,-0.0191351136088103,1.97442522294827,0.00154244600367517,0
GFM-MWT+AD,K_damp,-7166666.66666667,1718.24855511359,-0.0156047804718821,1.97509743692684,0.00125744479135734,0
GFM-MWT+AD,K_damp,-7000000,1718.24855511373,-0.0120706320109631,1.97576550771206,0.000972331906370795,0
GFM-MWT+AD,K_damp,-6833333.33333333,1718.24855511368,-0.00853298316561535,1.97642946712751,0.000687131087706561,0
GFM-MWT+AD,K_damp,-6666666.66666667,1718.24855511375,-0.00499214048274427,1.97708934737697,0.000401865384250786,0
GFM-MWT+AD,K_damp,-6500000,1718.24855511342,-0.00144840224236276,1.97774518102514,0.000116557166769106,0
GFM-MWT+AD,K_damp,-6333333.33333333,1718.24855511382,0.00209794143071612,1.97839700094917,-0.00016877186131004,0
GFM-MWT+AD,K_damp,-6166666.66666667,1718.2485551137,0.00564660840751735,1.97904484030012,-0.000454100649365044,0
GFM-MWT+AD,K_damp,-6000000,1718.24855511367,0.00919732446455213,1.97968873247271,-0.00073940879068241,0
GFM-MWT+AD,K_damp,-5833333.33333333,1718.24855511367,0.0127498231017897,1.98032871105974,-0.00102467650626592,0
GFM-MWT+AD,K_damp,-5666666.66666667,1718.24855511371,0.0163038454391608,1.98096480983694,-0.00130988463502947,0
GFM-MWT+AD,K_damp,-5500000,1718.24855511351,0.0198591400494655,1.98159706271001,-0.00159501461896751,0
GFM-MWT+AD,K_damp,-5333333.33333333,1718.24855511325,0.0234154628413766,1.98222550370334,-0.00188004849240462,0
GFM-MWT+AD,K_damp,-5166666.66666667,1718.24855511335,0.0269725768887092,1.98285016692363,-0.00216496886701125,0
GFM-MWT+AD,K_damp,-5000000,1718.24855511376,0.0305302523060377,1.98347108653578,-0.00244975892060396,0
GFM-MWT+AD,K_damp,-4833333.33333333,1718.2485551136,0.0340882660894821,1.98408829673164,-0.00273440238322369,0
GFM-MWT+AD,K_damp,-4666666.66666667,1718.24855511401,0.0376464019895523,1.98470183171764,-0.00301888352582837,0
GFM-MWT+AD,K_damp,-4500000,1718.24855511401,0.041204450344476,1.9853117256798,-0.00330318714590611,0
GFM-MWT+AD,K_damp,-4333333.33333333,1718.24855511369,0.044762207933444,1.98591801276489,-0.00358729855473019,0
GFM-MWT+AD,K_damp,-4166666.66666667,1718.24855511373,0.0483194778478568,1.98652072706775,-0.00387120356610146,0
GFM-MWT+AD,K_damp,-4000000,1718.24855511351,0.0518760693530498,1.98711990260648,-0.0041548884844018,0
GFM-MWT+AD,K_damp,-3833333.33333333,1718.24855511339,0.0554317977065544,1.98771557329996,-0.00443834008922162,0
GFM-MWT+AD,K_damp,-3666666.66666667,1718.24855511345,0.0589864840609946,1.98830777296504,-0.00472154562677785,0
GFM-MWT+AD,K_damp,-3500000,1718.24855511346,0.0625399552926111,1.98889653528081,-0.00500449279549627,0
GFM-MWT+AD,K_damp,-3333333.33333333,1718.24855511376,0.0660920438735562,1.98948189379468,-0.00528716973505507,0
GFM-MWT+AD,K_damp,-3166666.66666667,1718.24855511377,0.0696425877344486,1.9900638818912,-0.00556956501478152,0
GFM-MWT+AD,K_damp,-3000000,1718.24855511391,0.0731914301249492,1.99064253279082,-0.00585166762186317,0
GFM-MWT+AD,K_damp,-2833333.33333333,1718.24855511368,0.0767384194835297,1.99121787953013,-0.00613346695038492,0
GFM-MWT+AD,K_damp,-2666666.66666667,1718.24855511411,0.0802834092973974,1.99178995495622,-0.00641495278958232,0
GFM-MWT+AD,K_damp,-2500000,1718.24855511314,0.0838262579759692,1.99235879171284,-0.00669611531324156,0
GFM-MWT+AD,K_damp,-2333333.33333333,1718.24855511378,0.0873668287328582,1.99292442223138,-0.00697694506980328,0
GFM-MWT+AD,K_damp,-2166666.66666667,1718.24855511389,0.0909049894318037,1.99348687872125,-0.0072574329696258,0
GFM-MWT+AD,K_damp,-2000000,1718.24855511381,0.0944406124978945,1.99404619316399,-0.00753757027748459,0
GFM-MWT+AD,K_damp,-1833333.33333333,1718.24855511383,0.0979735747740387,1.99460239730503,-0.00781734860074024,0
GFM-MWT+AD,K_damp,-1666666.66666667,1718.2485551138,0.101503757400737,1.99515552264289,-0.00809675987941175,0
GFM-MWT+AD,K_damp,-1500000,1718.24855511356,0.105031045710871,1.9957056004279,-0.00837579637744108,0
