Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
Synchronization effect (PLL to GFM),XR,18.5384615384615,-6.59194920871187e-16,8.43769498715119e-15,-80.3227006167199
Synchronization effect (PLL to GFM),XR,19.025641025641,-1.19869392189997e-15,1.50990331349021e-14,-80.3268567296159
Synchronization effect (PLL to GFM),XR,19.5128205128205,4.79997985802783e-15,-6.03406213883773e-14,-80.3308251922849
Synchronization effect (PLL to GFM),XR,20,4.51375048449165e-15,-5.67046409827299e-14,-80.3346183045255
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,1,-0.0023070943259309,0.0289954305008982,2.06728145712987e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,1.48717948717949,-0.0022989006077172,0.0288904903481272,2.60956767306197e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,1.97435897435897,-0.00229234279222535,0.028807142543731,2.49383447226137e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,2.46153846153846,-0.0022875220797381,0.0287460532319201,2.66322786046658e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,2.94871794871795,-0.00228394901325163,0.0287008449834671,3.18709680868778e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,3.43589743589744,-0.00228123320641992,0.0286665163113542,2.78714651358314e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,3.92307692307692,-0.00227911425436689,0.0286397495787281,2.78623701888137e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,4.41025641025641,-0.00227742161820809,0.0286183781920422,3.07818481815048e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,4.8974358974359,-0.00227604172214253,0.028600961713723,3.11320036416873e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,5.38461538461539,-0.00227489698811411,0.0285865173911911,3.3680862543406e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,5.87179487179487,-0.00227393301954102,0.0285743567101473,3.14867065753788e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,6.35897435897436,-0.00227311072568768,0.0285639852011788,3.45744410878979e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,6.84615384615385,-0.00227240137799354,0.028555039650197,3.20324033964425e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,7.33333333333333,-0.00227178343690426,0.0285472478429648,3.25735527439974e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,7.82051282051282,-0.00227124045998832,0.028540402050979,2.86604517896194e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,8.30769230769231,-0.00227075969094859,0.0285343411602264,3.30283000948839e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,8.7948717948718,-0.00227033109265221,0.0285289384300708,3.2939624361461e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,9.28205128205128,-0.00226994666197356,0.0285240928244006,3.34921423927881e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,9.76923076923077,-0.00226959994417373,0.028519722869299,3.17118065140676e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,10.2564102564103,-0.00226928567675995,0.0285157621502534,3.20937942888122e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,10.7435897435897,-0.00226899952848045,0.0285121560128683,3.30578586726915e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,11.2307692307692,-0.00226873790259985,0.0285088590770036,3.14912540488876e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,11.7179487179487,-0.0022684977882924,0.0285058333591655,3.26895133184735e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,12.2051282051282,-0.00226827664646371,0.0285030468302824,3.53475115844049e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,12.6923076923077,-0.00226807232165195,0.0285004723030011,3.292370820418e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,13.1794871794872,-0.00226788297100278,0.0284980865349808,3.35830918629654e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,13.6666666666667,-0.00226770701112389,0.028495869557734,3.25212567986455e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,14.1538461538462,-0.00226754307447581,0.0284938041260815,3.58318175130989e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,14.6410256410256,-0.0022673899715613,0.0284918752411242,3.1125182431424e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,15.1282051282051,-0.00226724666579687,0.0284900698327776,3.2050593290478e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,15.6153846153846,-0.00226711224790736,0.028488376436865,3.42993189406116e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,16.1025641025641,-0.00226698591790057,0.0284867849675222,3.438572093728e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,16.5897435897436,-0.00226686696690527,0.0284852864882894,3.10365066980012e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,17.0769230769231,-0.0022667547695523,0.0284838731154765,3.33147909259424e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,17.5641025641026,-0.00226664876712243,0.0284825378060695,3.45403350365814e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,18.0512820512821,-0.00226654846104169,0.0284812742754512,3.59273144567851e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,18.5384615384615,-0.00226645340477009,0.0284800768951194,3.45789885614067e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,19.025641025641,-0.00226636319721913,0.0284789406096329,3.042032403755e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,19.5128205128205,-0.0022662774772911,0.0284778608677609,3.5090579331154e-09
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,20,-0.00226619591863352,0.0284768335563193,3.23575477523264e-09
APCAD damping effect,XR,1,0.00785484371951269,-0.0979327316791293,-1.40516931423917e-10
APCAD damping effect,XR,1.48717948717949,0.00714696032412035,-0.0889698444561166,8.43556335894391e-11
APCAD damping effect,XR,1.97435897435897,0.00670721567836588,-0.0834329580518662,-2.81943357549608e-11
APCAD damping effect,XR,2.46153846153846,0.00642046108042581,-0.0798326896907331,5.88897819397971e-11
APCAD damping effect,XR,2.94871794871795,0.00622235003003258,-0.0773496223292702,8.09450284577906e-11
APCAD damping effect,XR,3.43589743589744,0.00607857216158128,-0.0755495987980788,-3.45607986673713e-11
APCAD damping effect,XR,3.92307692307692,0.00596999994745869,-0.0741914273229848,7.50333128962666e-11
APCAD damping effect,XR,4.41025641025641,0.00588535571720326,-0.0731332162869843,-1.65073288371786e-10
APCAD damping effect,XR,4.8974358974359,0.00581763599052372,-0.0722869865173346,-1.79625203600153e-10
APCAD damping effect,XR,5.38461538461539,0.0057622913931901,-0.0715956528837091,-1.07547748484649e-10
APCAD damping effect,XR,5.87179487179487,0.00571625090461378,-0.0710207142332409,1.82353687705472e-10
APCAD damping effect,XR,6.35897435897436,0.00567737244124911,-0.0705353340667232,-1.24146026792005e-10
APCAD damping effect,XR,6.84615384615385,0.0056441192096251,-0.0701202699754446,-5.6843418860808e-12
APCAD damping effect,XR,7.33333333333333,0.00561536160648654,-0.069761384666409,-4.13820089306682e-11
APCAD damping effect,XR,7.82051282051282,0.0055902515525188,-0.0694480684015759,4.32009983342141e-11
APCAD damping effect,XR,8.30769230769231,0.00556814043253751,-0.0691722095495376,-6.34372554486617e-11
APCAD damping effect,XR,8.7948717948718,0.005548524116841,-0.0689275052561276,1.80989445652813e-10
