Polarity,BandwidthHz,Kp,Ki,MaxReal,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio
1,0.0202358964772516,5.34012727178592,0.484982300661083,-0.0101322327970471,0,-0.153034085170505,1.99727355273462,0.0121937830095285
1,0.0244205309454865,6.44442629166862,0.706303235182819,-0.0101322327970449,0,-0.153034085170503,1.99727355273462,0.0121937830095284
1,0.0294705170255181,7.77708622192829,1.0286236412127,-0.0101322327970648,0,-0.153034085170461,1.99727355273462,0.0121937830095251
1,0.0355648030622313,9.38533041824058,1.4980344738019,-0.0101322327969891,0,-0.153034085170479,1.99727355273463,0.0121937830095264
1,0.0429193426012878,11.3261476787012,2.18166022516578,-0.0101322327969891,0,-0.153034085170479,1.99727355273463,0.0121937830095264
1,0.0517947467923121,13.6683116654508,3.1772575473452,-0.0101322327969891,0,-0.153034085170479,1.99727355273463,0.0121937830095264
1,0.0625055192527397,16.4948179278307,4.62719419170552,-0.0101322327969891,0,-0.153034085170479,1.99727355273463,0.0121937830095264
1,0.0754312006335462,19.9058248839917,6.73880721619294,-0.0101322327970424,0,-0.15303408517044,1.99727355273463,0.0121937830095233
1,0.0910298177991522,24.0222029758564,9.81405162947698,-0.0101322327970424,0,-0.15303408517044,1.99727355273463,0.0121937830095233
1,0.109854114198756,28.9898177632077,14.2926791487074,-0.0101322327970506,0,-0.153034085170421,1.99727355273462,0.0121937830095218
1,0.132571136559011,34.9846987301144,20.8151215176338,-0.0101322327970506,0,-0.153034085170421,1.99727355273462,0.0121937830095218
1,0.159985871960606,42.2192769624861,30.3140705312093,-0.0101322327970506,0,-0.153034085170421,1.99727355273462,0.0121937830095218
1,0.193069772888325,50.9499127314418,44.147850464992,0.0596194085749232,0.611352603979121,-0.153034085170421,1.99727355273462,0.0121937830095218
1,0.232995181051537,61.48597972552,64.2946548096438,0.265906053347478,0.614950906669845,-0.15303408517045,1.99727355273463,0.0121937830095241
1,0.281176869797423,74.2008278352565,93.6354226434927,0.504749453174515,0.623195572652879,-0.15303408517045,1.99727355273463,0.0121937830095241
1,0.339322177189533,89.5450129609334,136.365805207036,0.769841869690187,0.637110477088526,-0.15303408517045,1.99727355273463,0.0121937830095241
1,0.409491506238042,108.062262647208,198.596132796498,1.05471623352769,0.656898674145116,-0.153034085170423,1.99727355273462,0.012193783009522
1,0.494171336132383,130.408743293484,289.225175635815,1.35587342131613,0.682286121815771,-0.153034085170423,1.99727355273462,0.012193783009522
1,0.596362331659464,157.3763116816,421.212644192249,1.67290140806469,0.712948875827649,-0.153034085170484,1.99727355273463,0.0121937830095269
1,0.719685673001152,189.920574748317,613.432393073655,2.00735534735893,0.748707752029527,-0.153034085170484,1.99727355273463,0.0121937830095269
1,0.868511373751353,229.19475191226,893.371331702763,2.36182974026102,0.789557193739886,-0.153034085170484,1.99727355273463,0.0121937830095269
1,1.04811313415469,276.590539880872,1301.05997876857,2.73946100529516,0.835639568397097,-0.153034085170471,1.99727355273463,0.0121937830095258
1,1.2648552168553,333.787427998695,1894.79671921742,3.14371336862278,0.887214597311175,-0.153034085170471,1.99727355273463,0.0121937830095258
1,1.52641796717523,402.812211646755,2759.48431720664,3.57830824869526,0.944636674966809,-0.153034085170471,1.99727355273463,0.0121937830095258
1,1.84206996932672,486.110812574956,4018.77078405245,4.04721968399117,1.0083405831185,-0.153034085170429,1.99727355273462,0.0121937830095225
1,2.2229964825262,586.634951150661,5852.73071278126,4.55469921472283,1.07883352923716,-0.153034085170429,1.99727355273462,0.0121937830095225
1,2.68269579527972,707.946741790429,8523.61546278374,5.10531470103246,1.15669145435251,-0.153034085170429,1.99727355273462,0.0121937830095225
1,3.23745754281764,854.344917957281,12413.3544020312,5.70399536174396,1.24255831633588,-0.153034085170531,1.99727355273464,0.0121937830095305
1,3.90693993705462,1031.01715955846,18078.1697840815,6.35608176126464,1.33714724165945,-0.153034085170531,1.99727355273464,0.0121937830095305
1,4.71486636345739,1244.22392052801,26328.115041056,7.06737871066416,1.44124311554199,-0.153034085170531,1.99727355273464,0.0121937830095305
1,5.6898660290183,1501.52027060062,38342.9102555196,7.8442126016912,1.55570601270198,-0.153034085170531,1.99727355273464,0.0121937830095305
1,6.866488450043,1812.0236123316,55840.6389735927,8.69349270839024,1.68147530727726,-0.153034085170504,1.99727355273462,0.0121937830095285
1,8.28642772854684,2186.73676002646,81323.4295518883,9.62277747578561,1.81957419873085,-0.153034085170504,1.99727355273462,0.0121937830095285
