Index,VoltageScale,Kpv,Kiv,Kdamp,ZetaDamp,AlphaLead,MaxReal,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
5533,27.384,3.01224,7229.376,-14000000,0.35,0.35,-0.180683778789892,1.95212703611515,-0.180683778789892,1.95212703611515,0.0147293677017453,1
9058,31.623,3.47853,8348.472,-14000000,0.35,0.35,-0.180665795368641,1.95213024729921,-0.180665795368641,1.95213024729921,0.0147278777870475,1
12583,36.517,4.01687,9640.488,-14000000,0.35,0.35,-0.180650258358186,1.95213302379245,-0.180650258358186,1.95213302379245,0.0147265905435445,1
16108,42.17,4.6387,11132.88,-14000000,0.35,0.35,-0.180636824647946,1.95213542603692,-0.180636824647946,1.95213542603692,0.0147254775494736,1
5680,27.384,3.01224,7229.376,-12800000,0.2,0.7,-0.180625070465427,1.97377485405331,-0.180625070465427,1.97377485405331,0.0145631221077499,1
9205,31.623,3.47853,8348.472,-12800000,0.2,0.7,-0.180605103370176,1.97377680470328,-0.180605103370176,1.97377680470328,0.0145614981892632,1
12730,36.517,4.01687,9640.488,-12800000,0.2,0.7,-0.180587849652611,1.97377849172242,-0.180587849652611,1.97377849172242,0.0145600949408687,1
16255,42.17,4.6387,11132.88,-12800000,0.2,0.7,-0.180572929513011,1.97377995165579,-0.180572929513011,1.97377995165579,0.0145588814767141,1
5428,27.384,3.01224,7229.376,-14800000,0.2,0.35,-0.180525802760624,1.94362550395296,-0.180525802760624,1.94362550395296,0.0147808490325901,1
8953,31.623,3.47853,8348.472,-14800000,0.2,0.35,-0.180510335707037,1.94362971125588,-0.180510335707037,1.94362971125588,0.0147795509327782,1
12478,36.517,4.01687,9640.488,-14800000,0.2,0.35,-0.18049697518607,1.94363334861358,-0.18049697518607,1.94363334861358,0.0147784296085838,1
16003,42.17,4.6387,11132.88,-14800000,0.2,0.35,-0.18048542531325,1.9436364953101,-0.18048542531325,1.9436364953101,0.0147774602347839,1
5102,27.384,3.01224,7229.376,-17400000,0.2,0.25,-0.179889517893303,1.92406974246761,-0.179889517893303,1.92406974246761,0.0148784299569371,1
8627,31.623,3.47853,8348.472,-17400000,0.2,0.25,-0.179878272573952,1.92407515687984,-0.179878272573952,1.92407515687984,0.0148774582204331,1
12152,36.517,4.01687,9640.488,-17400000,0.2,0.25,-0.179868563155887,1.92407983740883,-0.179868563155887,1.92407983740883,0.0148766191659324,1
15677,42.17,4.6387,11132.88,-17400000,0.2,0.25,-0.179860172727637,1.92408388639293,-0.179860172727637,1.92408388639293,0.0148758940641088,1
5629,27.384,3.01224,7229.376,-13200000,0.2,0.5,-0.179690479261609,1.96044045846424,-0.179690479261609,1.96044045846424,0.0145863065561836,1
9154,31.623,3.47853,8348.472,-13200000,0.2,0.5,-0.179672182377886,1.96044345822099,-0.179672182377886,1.96044345822099,0.0145847993174337,1
12679,36.517,4.01687,9640.488,-13200000,0.2,0.5,-0.179656374075203,1.96044605191239,-0.179656374075203,1.96044605191239,0.014583497069271,1
16204,42.17,4.6387,11132.88,-13200000,0.2,0.5,-0.179642705308439,1.96044829603445,-0.179642705308439,1.96044829603445,0.0145823710624939,1
4171,27.384,3.01224,7229.376,-25000000,0.9,0.15,-0.179602072164044,0.0718013155873603,-0.362358023321172,1.89526614041099,0.030414931363577,1
7696,31.623,3.47853,8348.472,-25000000,0.9,0.15,-0.179601951680434,0.0718012596445757,-0.362330342160278,1.89527292641719,0.0304125012717313,1
11221,36.517,4.01687,9640.488,-25000000,0.9,0.15,-0.179601847388668,0.0718012111893057,-0.362306428578412,1.89527879344867,0.0304104018697202,1
14746,42.17,4.6387,11132.88,-25000000,0.9,0.15,-0.179601748753728,0.0718011694171008,-0.36228575383745,1.89528386937438,0.0304085867631395,1
4199,27.384,3.01224,7229.376,-24800000,0.9,0.5,-0.179487464629397,0.0707933897929272,-0.49209748413395,1.93468791359214,0.0404487208892915,1
7724,31.623,3.47853,8348.472,-24800000,0.9,0.5,-0.179487327386366,0.0707933381711024,-0.492058129536758,1.93469223991253,0.0404454010731265,1
11249,36.517,4.01687,9640.488,-24800000,0.9,0.5,-0.179487226167243,0.0707932929611631,-0.492024122099452,1.93469598122691,0.0404425322767618,1
14774,42.17,4.6387,11132.88,-24800000,0.9,0.5,-0.179487105263083,0.0707932547170205,-0.49199471309971,1.93469921877089,0.0404400513587812,1
5563,27.384,3.01224,7229.376,-13800000,0.5,0.35,-0.17937720851751,1.95466523577734,-0.17937720851751,1.95466523577734,0.0146038945070611,1
9088,31.623,3.47853,8348.472,-13800000,0.5,0.35,-0.179359039126276,1.95466812477107,-0.179359039126276,1.95466812477107,0.0146023939940088,1
12613,36.517,4.01687,9640.488,-13800000,0.5,0.35,-0.17934334093281,1.9546706227731,-0.17934334093281,1.9546706227731,0.0146010975530177,1
16138,42.17,4.6387,11132.88,-13800000,0.5,0.35,-0.179329767296739,1.9546727841665,-0.179329767296739,1.9546727841665,0.0145999765610385,1
5472,27.384,3.01224,7229.376,-14600000,0.9,0.25,-0.179234503517339,1.94741208762773,-0.179234503517339,1.94741208762773,0.0146466161279507,1
8997,31.623,3.47853,8348.472,-14600000,0.9,0.25,-0.179216510259301,1.94741529060095,-0.179216510259301,1.94741529060095,0.0146451219950494,1
12522,36.517,4.01687,9640.488,-14600000,0.9,0.25,-0.179200964774999,1.94741806001971,-0.179200964774999,1.94741806001971,0.0146438311091156,1
16047,42.17,4.6387,11132.88,-14600000,0.9,0.25,-0.179187523707685,1.94742045618737,-0.179187523707685,1.94742045618737,0.0146427149629684,1
5382,27.384,3.01224,7229.376,-15200000,0.35,0.25,-0.179068692306459,1.9407245176911,-0.179068692306459,1.9407245176911,0.0146834827805439,1
8907,31.623,3.47853,8348.472,-15200000,0.35,0.25,-0.17905179294154,1.94072849380337,-0.17905179294154,1.94072849380337,0.0146820672717025,1
12432,36.517,4.01687,9640.488,-15200000,0.35,0.25,-0.179037194345005,1.94073193140716,-0.179037194345005,1.94073193140716,0.0146808444609445,1
15957,42.17,4.6387,11132.88,-15200000,0.35,0.25,-0.179024573303366,1.9407349054751,-0.179024573303366,1.9407349054751,0.0146797872819013,1
5211,27.384,3.01224,7229.376,-16600000,0.5,0.15,-0.178502694422426,1.93057544665142,-0.178502694422426,1.93057544665142,0.0147140121806903,1
8736,31.623,3.47853,8348.472,-16600000,0.5,0.15,-0.178485940282423,1.93057989783787,-0.178485940282423,1.93057989783787,0.0147125975181787,1
4172,27.384,3.01224,7229.376,-25000000,0.9,0.25,-0.178472227373659,0.0715570380226598,-0.419655376475182,1.90514278638077,0.0350363350467389,1
7697,31.623,3.47853,8348.472,-25000000,0.9,0.25,-0.178472095874111,0.0715569836813634,-0.419623117130252,1.90514904957738,0.0350335300408902,1
11222,36.517,4.01687,9640.488,-25000000,0.9,0.25,-0.178471993226218,0.0715569363167457,-0.41959524541406,1.90515446484452,0.0350311064888734,1
14747,42.17,4.6387,11132.88,-25000000,0.9,0.25,-0.178471893727912,0.0715568955488919,-0.419571146177952,1.9051591501096,0.0350290109245875,1
12261,36.517,4.01687,9640.488,-16600000,0.5,0.15,-0.178471468211772,1.93058374609221,-0.178471468211772,1.93058374609221,0.0147113755254054,1
15786,42.17,4.6387,11132.88,-16600000,0.5,0.15,-0.178458957291576,1.93058707538956,-0.178458957291576,1.93058707538956,0.0147103191128587,1
5665,27.384,3.01224,7229.376,-13000000,0.5,0.7,-0.178426164658175,1.97690140842724,-0.178426164658175,1.97690140842724,0.0143631223225867,1
9190,31.623,3.47853,8348.472,-13000000,0.5,0.7,-0.178407371238716,1.97690279599582,-0.178407371238716,1.97690279599582,0.0143615997055513,1
