Stage,Index,CurrentScale,VoltageScale,Kpi,Kii,Kpv,Kiv,BetaV,BetaI,Kdamp,ZetaDamp,AlphaLead,TLeadDamp,MaxReal,DominantSigma,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
stage1,3106,0.00316227766016838,1,0.000632455532033676,0.00105409255338946,0.11,264,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.759872662265,832.759872662265,2246.95453797076,0.0166764705404631,1.98434067861991,-0.00133754267816965,0
stage1,1584,0.00177827941003892,0.0421696503428582,0.000355655882007785,0.000592759803346308,0.0046386615377144,11.1327876905146,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.760425133836,832.760425133836,2247.05653663886,0.016794924323462,1.98436238666259,-0.00134702855579301,0
stage1,1685,0.00177827941003892,0.133352143216332,0.000355655882007785,0.000592759803346308,0.0146687357537966,35.2049658091118,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.760960088971,832.760960088971,2247.05252739183,0.0167802361006884,1.98435847685282,-0.00134585314806604,0
stage1,2406,0.00237137370566166,0.421696503428582,0.000474274741132331,0.000790457901887218,0.046386615377144,111.327876905146,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.761051645165,832.761051645165,2247.02211774201,0.016778847662914,1.98436254914771,-0.00134573902736986,0
stage1,1559,0.00177827941003892,0.0316227766016838,0.000355655882007785,0.000592759803346308,0.00347850542618522,8.34841302284452,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.761871140876,832.761871140876,2247.05662422866,0.0167959440843727,1.9843626107914,-0.00134711019290898,0
stage1,1534,0.00177827941003892,0.0237137370566166,0.000355655882007785,0.000592759803346308,0.00260851107622782,6.26042658294677,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.762955492868,832.762955492868,2247.05668991175,0.0167967089402512,1.98436277883188,-0.00134717142359477,0
stage1,1509,0.00177827941003892,0.0177827941003892,0.000355655882007785,0.000592759803346308,0.00195610735104282,4.69465764250276,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.763768641228,832.763768641228,2247.05673916703,0.0167972825710752,1.98436290482166,-0.00134721734574079,0
stage1,1484,0.00177827941003892,0.0133352143216332,0.000355655882007785,0.000592759803346308,0.00146687357537966,3.52049658091118,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.764378415888,832.764378415888,2247.05677610327,0.0167977127792225,1.9843629992916,-0.00134725178616097,0
stage1,1459,0.00177827941003892,0.01,0.000355655882007785,0.000592759803346308,0.0011,2.64,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.764835683374,832.764835683374,2247.05680380159,0.0167980353838358,1.98436307012043,-0.0013472776123597,0
stage1,1434,0.00177827941003892,0.00749894209332456,0.000355655882007785,0.000592759803346308,0.000824883630265701,1.97972071263768,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.76517858533,832.76517858533,2247.05682457231,0.0167982773454198,1.98436312323903,-0.00134729698266115,0
stage1,1409,0.00177827941003892,0.00562341325190349,0.000355655882007785,0.000592759803346308,0.000618575457709384,1.48458109850252,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.765435724843,832.765435724843,2247.05684014816,0.0167984588226441,1.98436316307379,-0.00134731151087355,0
stage1,1660,0.00177827941003892,0.1,0.000355655882007785,0.000592759803346308,0.011,26.4,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.765532751661,832.765532751661,2247.05280438459,0.0167834512733271,1.9843591872871,-0.00134611053750067,0
stage1,1384,0.00177827941003892,0.00421696503428582,0.000355655882007785,0.000592759803346308,0.00046386615377144,1.11327876905146,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.765628552585,832.765628552585,2247.05685182843,0.0167985948803866,1.98436319293854,-0.00134732240301585,0
stage1,1359,0.00177827941003892,0.00316227766016838,0.000355655882007785,0.000592759803346308,0.000347850542618522,0.834841302284452,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.765773153484,832.765773153484,2247.05686058739,0.016798696903055,1.98436321532997,-0.0013473305704719,0
stage1,1334,0.00177827941003892,0.00237137370566166,0.000355655882007785,0.000592759803346308,0.000260851107622782,0.626042658294677,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.765881588396,832.765881588396,2247.05686715563,0.0167987734617822,1.98436323213241,-0.00134733669940438,0
stage1,1309,0.00177827941003892,0.00177827941003892,0.000355655882007785,0.000592759803346308,0.000195610735104282,0.469465764250276,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.76596290328,832.76596290328,2247.05687208117,0.0167988307973145,1.98436324471468,-0.00134734128941886,0
stage1,1284,0.00177827941003892,0.00133352143216332,0.000355655882007785,0.000592759803346308,0.000146687357537966,0.352049658091118,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.766023880388,832.766023880388,2247.05687577477,0.0167988738626869,1.98436325416728,-0.00134734473702975,0
stage1,1259,0.00177827941003892,0.001,0.000355655882007785,0.000592759803346308,0.00011,0.264,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.766069606774,832.766069606774,2247.05687854462,0.0167989061111296,1.98436326124463,-0.00134734731868885,0
stage1,1635,0.00177827941003892,0.0749894209332456,0.000355655882007785,0.000592759803346308,0.00824883630265701,19.7972071263768,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.768961760919,832.768961760919,2247.05301209927,0.0167858637000662,1.98435971969544,-0.0013463036637336,0
stage1,2459,0.00237137370566166,0.749894209332456,0.000474274741132331,0.000790457901887218,0.0824883630265701,197.972071263768,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.770600035624,832.770600035624,2247.00113677687,0.0167051568449341,1.98434248172815,-0.00133984225256007,0
stage1,1610,0.00177827941003892,0.0562341325190349,0.000355655882007785,0.000592759803346308,0.00618575457709384,14.8458109850252,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.771533150119,832.771533150119,2247.05316786296,0.0167876735547546,1.98436011875721,-0.00134644855138613,0
stage1,1585,0.00177827941003892,0.0421696503428582,0.000355655882007785,0.000592759803346308,0.0046386615377144,11.1327876905146,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.773461417973,832.773461417973,2247.05328466906,0.0167890311895778,1.98436041790056,-0.00134655723674542,0
stage1,1560,0.00177827941003892,0.0316227766016838,0.000355655882007785,0.000592759803346308,0.00347850542618522,8.34841302284452,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.774907415017,832.774907415017,2247.05337226118,0.0167900495538292,1.98436064217753,-0.00134663876187697,0
stage1,1535,0.00177827941003892,0.0237137370566166,0.000355655882007785,0.000592759803346308,0.00260851107622782,6.26042658294677,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.775991758576,832.775991758576,2247.05343794598,0.0167908133551312,1.98436081032555,-0.00134669990800887,0
stage1,1510,0.00177827941003892,0.0177827941003892,0.000355655882007785,0.000592759803346308,0.00195610735104282,4.69465764250276,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.776804901476,832.776804901476,2247.05348720255,0.0167913861879757,1.98436093639578,-0.00134674576617439,0
stage1,1485,0.00177827941003892,0.0133352143216332,0.000355655882007785,0.000592759803346308,0.00146687357537966,3.52049658091118,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.777414672343,832.777414672343,2247.05352413975,0.016791815794581,1.98436103092445,-0.00134678015836506,0
stage1,1460,0.00177827941003892,0.01,0.000355655882007785,0.000592759803346308,0.0011,2.64,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.777871935756,832.777871935756,2247.0535518388,0.0167921379969098,1.98436110180989,-0.00134680595230288,0
stage1,1435,0.00177827941003892,0.00749894209332456,0.000355655882007785,0.000592759803346308,0.000824883630265701,1.97972071263768,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.778214834053,832.778214834053,2247.05357261005,0.0167923796116627,1.98436115495811,-0.00134682529479873,0
stage1,2407,0.00237137370566166,0.421696503428582,0.000474274741132331,0.000790457901887218,0.046386615377144,111.327876905146,0.2,0.2,-5000000,0.2,0.3,0.0795774715459477,832.778438127793,832.778438127793,2247.01778140889,0.016770715685819,1.98435988273748,-0.00134508861482975,0
stage1,1410,0.00177827941003892,0.00562341325190349,0.000355655882007785,0.000592759803346308,0.000618575457709384,1.48458109850252,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.778471972647,832.778471972647,2247.05358818637,0.016792560822016,1.98436119481416,-0.00134683980161635,0
stage1,1385,0.00177827941003892,0.00421696503428582,0.000355655882007785,0.000592759803346308,0.00046386615377144,1.11327876905146,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.778664799588,832.778664799588,2247.05359986684,0.0167926967292035,1.98436122470665,-0.00134685068168256,0
