Stage,Index,CurrentScale,VoltageScale,Kpi,Kii,Kpv,Kiv,BetaV,BetaI,Kdamp,ZetaDamp,AlphaLead,TLeadDamp,MaxReal,DominantSigma,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
stage2,26969,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,-5250000,0.5,0.5,0.0795774715459477,97.5131782056856,97.5131782056856,2168.61135889849,0.00135374438048785,1.988653811308,-0.000108342189750611,0
stage2,25439,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,-20500000,0.35,0.5,0.0795774715459477,97.513178205686,97.513178205686,2168.61135889852,-0.456438975032276,1.94468444284709,0.0373293915369825,0
stage2,26866,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,-6250000,0.5,0.15,0.0795774715459477,97.513178205686,97.513178205686,2168.6113588985,-0.00257108917721321,1.97658893364578,0.000207024098915606,0
stage2,26722,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,-7750000,0.7,0.25,0.0795774715459477,97.5131782056865,97.5131782056865,2168.61135889851,-0.0519436360357765,1.97425983508998,0.00418739915140431,0
stage2,27502,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,250000,0.12,0.25,0.0795774715459477,97.5131782056865,97.5131782056865,2168.61135889853,0.14334353399021,2.00096833966759,-0.0114006548136107,0
stage2,26229,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,-12500000,0.12,0.5,0.0795774715459477,97.5131782056869,97.5131782056869,2168.6113588985,-0.196674147063357,1.95899379045421,0.0159763996084317,0
stage2,26330,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,-11500000,0.12,0.7,0.0795774715459477,97.5131782056869,97.5131782056869,2168.61135889851,-0.186203207961289,1.97688653496526,0.0149891413215271,0
stage2,26586,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,-9000000,0.35,0.15,0.0795774715459477,97.5131782056869,97.5131782056869,2168.61135889853,-0.0627705569031209,1.9648760206349,0.00508434892537096,0
stage2,27746,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,2500000,0.7,0.15,0.0795774715459477,97.5131782056878,97.5131782056878,2168.61135889848,0.193038299743883,2.00925325477704,-0.0152889679475611,0
stage2,26920,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,-5750000,0.5,0.7,0.0795774715459477,97.5131782056883,97.5131782056883,2168.61135889848,-0.00858254087131649,1.99202408815292,0.000685711327963414,0
