Scan,Value,MaxReal,DominantFrequencyHz,TorsionSigma,TorsionDampingRatio,Stable
voltage_scale,4.21696503428582e-07,1768.17833289683,2251.30383942322,0.0378716319434813,-0.00303272829352602,0
voltage_scale,4.86967525165863e-07,1768.17832966799,2251.30383921478,0.0378716169326774,-0.00303272708786864,0
voltage_scale,5.62341325190349e-07,1768.17832593984,2251.30383897399,0.0378715996096628,-0.00303272569650483,0
voltage_scale,6.49381631576211e-07,1768.17832163404,2251.30383869595,0.0378715796596938,-0.00303272409414816,0
voltage_scale,7.49894209332456e-07,1768.17831666199,2251.30383837487,0.0378715565630158,-0.00303272223905496,0
voltage_scale,8.65964323360065e-07,1768.17831091972,2251.30383800411,0.0378715298526422,-0.00303272009369889,0
voltage_scale,1e-06,1768.17830428963,2251.30383757599,0.0378714990437544,-0.00303271761917031,0
voltage_scale,1.15478198468946e-06,1768.17829663252,2251.30383708147,0.0378714633955008,-0.00303271475595277,0
voltage_scale,1.33352143216332e-06,1768.17828779087,2251.30383651055,0.0378714223042773,-0.00303271145555348,0
voltage_scale,1.53992652605949e-06,1768.17827758017,2251.30383585123,0.0378713748289523,-0.00303270764239448,0
voltage_scale,1.77827941003892e-06,1768.17826578965,2251.30383508982,0.0378713200095064,-0.00303270323935948,0
voltage_scale,2.05352502645715e-06,1768.17825217425,2251.30383421058,0.0378712566905642,-0.00303269815366958,0
voltage_scale,2.37137370566166e-06,1768.17823645155,2251.30383319525,0.0378711836851859,-0.00303269228997919,0
voltage_scale,2.73841963426436e-06,1768.1782182941,2251.30383202279,0.0378710992756719,-0.00303268551031424,0
voltage_scale,3.16227766016838e-06,1768.17819732687,2251.30383066887,0.0378710017811139,-0.0030326776796793,0
voltage_scale,3.65174127254838e-06,1768.17817311459,2251.30382910532,0.0378708892562951,-0.0030326686418191,0
voltage_scale,4.21696503428582e-06,1768.17814515405,2251.30382729986,0.0378707592336425,-0.00303265819856575,0
voltage_scale,4.86967525165863e-06,1768.17811286577,2251.30382521484,0.037870609127808,-0.00303264614225519,0
voltage_scale,5.62341325190349e-06,1768.17807558055,2251.30382280711,0.0378704358339459,-0.00303263222351648,0
voltage_scale,6.49381631576211e-06,1768.17803252338,2251.30382002683,0.0378702356423497,-0.00303261614439238,0
voltage_scale,7.49894209332456e-06,1768.17798280224,2251.30381681605,0.0378700043838285,-0.00303259757001634,0
voltage_scale,8.65964323360065e-06,1768.17792538521,2251.3038131084,0.0378697375799395,-0.00303257614068518,0
voltage_scale,1e-05,1768.17785908038,2251.30380882686,0.0378694293045796,-0.0030325513804089,0
voltage_scale,1.15478198468946e-05,1768.17778251359,2251.30380388256,0.0378690732729442,-0.0030325227844065,0
voltage_scale,1.33352143216332e-05,1768.17769409555,2251.30379817294,0.0378686622066129,-0.0030324897681052,0
voltage_scale,1.53992652605949e-05,1768.17759199163,2251.30379157965,0.0378681873731908,-0.00303245163020371,0
voltage_scale,1.77827941003892e-05,1768.17747408367,2251.30378396587,0.0378676389501467,-0.00303240758165348,0
voltage_scale,2.05352502645715e-05,1768.17733792678,2251.30377517358,0.037867005750442,-0.00303235672399695,0
voltage_scale,2.37137370566166e-05,1768.17718069397,2251.30376502035,0.0378662744779441,-0.00303229798928188,0
voltage_scale,2.73841963426436e-05,1768.17699912528,2251.30375329563,0.0378654298723272,-0.00303223015187008,0
voltage_scale,3.16227766016838e-05,1768.17678945194,2251.30373975607,0.0378644544538638,-0.00303215180781754,0
voltage_scale,3.65174127254838e-05,1768.17654732622,2251.30372412091,0.0378633279047361,-0.00303206132525165,0
voltage_scale,4.21696503428582e-05,1768.17626772316,2251.30370606564,0.0378620268599442,-0.00303195682757948,0
voltage_scale,4.86967525165863e-05,1768.17594484176,2251.30368521586,0.037860524146241,-0.00303183613230318,0
voltage_scale,5.62341325190349e-05,1768.17557198567,2251.30366113878,0.0378587884409156,-0.00303169672371984,0
voltage_scale,6.49381631576211e-05,1768.17514141736,2251.30363333499,0.0378567836423291,-0.00303153570227427,0
voltage_scale,7.49894209332456e-05,1768.1746442045,2251.30360122774,0.0378544679575455,-0.00303134971133732,0
voltage_scale,8.65964323360065e-05,1768.17407003178,2251.30356415083,0.0378517930538929,-0.00303113486905356,0
voltage_scale,0.0001,1768.17340698856,2251.30352133498,0.037848702965863,-0.00303088668056374,0
voltage_scale,0.000115478198468946,1768.1726413163,2251.30347189211,0.0378451331948888,-0.00303059996574197,0
voltage_scale,0.000133352143216332,1768.1717571328,2251.30341479621,0.0378410088692074,-0.00303026871135054,0
voltage_scale,0.000153992652605949,1768.17073609222,2251.30334886295,0.0378362436996325,-0.0030298859872935,0
voltage_scale,0.000177827941003892,1768.16955701287,2251.30327272434,0.037830737571265,-0.0030294437531922,0
voltage_scale,0.000205352502645715,1768.16819543304,2251.3031848007,0.0378243745709548,-0.00302893269996179,0
voltage_scale,0.000237137370566166,1768.16662310399,2251.30308326805,0.037817020472297,-0.00302834204801707,0
voltage_scale,0.000273841963426436,1768.16480740589,2251.30296601973,0.0378085201078626,-0.00302765933614158,0
voltage_scale,0.000316227766016838,1768.16271066842,2251.30283062331,0.0377986930192737,-0.00302687007243263,0
voltage_scale,0.000365174127254838,1768.16028939158,2251.30267426978,0.037787330631758,-0.00302595750739534,0
voltage_scale,0.000421696503428582,1768.15749334261,2251.30249371513,0.0377741901320519,-0.00302490214261089,0
voltage_scale,0.000486967525165863,1768.15426451173,2251.30228521339,0.037758990060716,-0.00302368137696963,0
voltage_scale,0.000562341325190349,1768.15053591048,2251.30204443877,0.0377414029422118,-0.00302226891522641,0
voltage_scale,0.000649381631576211,1768.1462301836,2251.30176639579,0.0377210480384931,-0.00302063418650019,0
voltage_scale,0.000749894209332456,1768.14125799864,2251.30144531566,0.0376974814648736,-0.00301874155135801,0
voltage_scale,0.000865964323360065,1768.13551619797,2251.30107453662,0.0376701860308168,-0.00301654948676261,0
voltage_scale,0.001,1768.12888565378,2251.30064636583,0.0376385572245261,-0.00301400946196325,0
voltage_scale,0.00115478198468946,1768.12122880127,2251.30015191924,0.037601888453284,-0.00301106475484673,0
voltage_scale,0.00133352143216332,1768.11238677841,2251.29958093787,0.0375593512108763,-0.00300764886178366,0
voltage_scale,0.00153992652605949,1768.10217613283,2251.29892157429,0.0375099730664785,-0.00300368373302933,0
voltage_scale,0.00177827941003892,1768.09038501618,2251.2981601469,0.0374526095582014,-0.00299907752025639,0
voltage_scale,0.00205352502645715,1768.0767687824,2251.29728085627,0.0373859109353818,-0.00299372191141187,0
voltage_scale,0.00237137370566166,1768.06104491407,2251.29626545634,0.0373082802269444,-0.00298748877162134,0
voltage_scale,0.00273841963426436,1768.04288715893,2251.29509287639,0.037217823122971,-0.00298022612917115,0
voltage_scale,0.00316227766016838,1768.02191875904,2251.29373878286,0.037112285303073,-0.00297175315747145,0
voltage_scale,0.00365174127254838,1767.99770462314,2251.29217507434,0.0369889745884575,-0.002961853943387,0
voltage_scale,0.00421696503428582,1767.96974230432,2251.29036929762,0.0368446641625035,-0.00295026974265698,0
voltage_scale,0.00486967525165863,1767.93745155892,2251.28828397342,0.0366754718615603,-0.00293668932309616,0
voltage_scale,0.00562341325190349,1767.90016230417,2251.28587581757,0.0364767094368419,-0.002920736909712,0
voltage_scale,0.00649381631576211,1767.85710069851,2251.28309484128,0.0362426922810952,-0.00290195697256099,0
voltage_scale,0.00749894209332456,1767.80737307219,2251.27988331139,0.0359665025411469,-0.00287979529556919,0
