Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.0184784979742229,0.0857695898590894,9.36131643340403,1.34726556701362e-07,-0.015581732013823,-0.0902606166158371,1.9978636184966,0.00719020649038856,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,0.116591440117983,9.36131643340403,1.83141405873055e-07,-0.015490895229026,-0.090278238873299,1.99807298171181,0.00719085669934889,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,0.158489319246111,9.36131643340403,2.48954440508015e-07,-0.0154254187938444,-0.0903690037793079,1.99835769111887,0.00719706047535998,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,0.215443469003188,9.36131643340403,3.38417809742158e-07,-0.015377956608194,-0.0906158013379779,1.99874361030367,0.0072153212729756,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,0.292864456462524,9.36131643340403,4.60030412460116e-07,-0.0153434134512927,-0.091177069975322,1.99926291846141,0.00725812448894771,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,0.398107170553497,9.36131643340403,6.25345281176143e-07,-0.0153182003309269,-0.0923443519492246,1.99995114658455,0.00734851112434969,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,0.541169526546464,9.36131643340403,8.50067104472518e-07,-0.0152997582557756,-0.0946234791415947,2.00083579042494,0.00752653863172786,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,0.735642254459641,9.36131643340403,1.15554415114032e-06,-0.0152862481073464,-0.0988029738285567,2.00190709803935,0.0078547583906422,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,1,9.36131643340403,1.5707963267949e-06,-0.0152763399038853,-0.105869435839798,2.00306353576228,0.00841163928198873,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,1.35935639087853,9.36131643340403,2.13527202559716e-06,-0.0152690674988897,-0.116497997752306,2.00405604552023,0.00925145719353798,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,1.84784979742229,9.36131643340403,2.90259567425963e-06,-0.0152637263680235,-0.130068603914236,2.00452969536858,0.0103265905751518,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,2.51188643150958,9.36131643340403,3.94566197994119e-06,-0.0152598021872132,-0.14418601778356,2.00425117885272,0.0114488711194205,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,3.4145488738336,9.36131643340403,5.36356082867947e-06,-0.0152569178381728,-0.155999154233538,2.00333128668486,0.012392423638859,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,4.64158883361278,9.36131643340403,7.29099069033116e-06,-0.0152547973819837,-0.164141897766809,2.00212464006241,0.0130470252970183,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,6.30957344480193,9.36131643340403,9.9110547907375e-06,-0.0152532382474069,-0.168973882725242,2.00094827899139,0.0134389281107079,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,8.57695898590894,9.36131643340403,1.34726556701362e-05,-0.0152520915733845,-0.171539346549513,1.99995649337756,0.0136496926798479,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,11.6591440117983,9.36131643340403,1.83141405873055e-05,-0.0152512484988293,-0.172776734858597,1.99917997449085,0.0137534743605219,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,15.8489319246111,9.36131643340403,2.48954440508015e-05,-0.015250628405031,-0.173306400441213,1.99859403018097,0.013799672905208,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,21.5443469003188,9.36131643340403,3.38417809742158e-05,-0.0152501721869231,-0.173484653404622,1.99815963022375,0.0138168663065265,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,29.2864456462524,9.36131643340403,4.60030412460116e-05,-0.0152498366001706,-0.17350112975703,1.99784011413284,0.0138203878144805,1
GFM-MWT,h_mp,h,mp,0.0184784979742229,39.8107170553497,9.36131643340403,6.25345281176143e-05,0.273517537707939,-0.173451656510281,1.99760582396819,0.0138180678904689,0
GFM-MWT,h_mp,h,mp,0.0184784979742229,54.1169526546464,9.36131643340403,8.50067104472519e-05,0.631219917425151,-0.173382266972412,1.9974341678758,0.0138137278108931,0
GFM-MWT,h_mp,h,mp,0.0184784979742229,73.5642254459641,9.36131643340403,0.000115554415114032,0.894376418433972,-0.173313544421646,1.99730837978772,0.0138091230471529,0
GFM-MWT,h_mp,h,mp,0.0184784979742229,100,9.36131643340403,0.00015707963267949,1.08797606055554,-0.173253509012187,1.99721615327108,0.0138049778395978,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.01,12.7253653207839,1.5707963267949e-08,-0.0199151490453591,-0.0903928727599186,1.99735135767855,0.00720258821481888,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0135935639087853,12.7253653207839,2.13527202559716e-08,-0.0180762956879835,-0.0903808498402778,1.99737552676784,0.00720154312882762,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0184784979742229,12.7253653207839,2.90259567425963e-08,-0.0171127558925814,-0.0903653191720142,1.99740840538839,0.00720018719436053,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0251188643150958,12.7253653207839,3.94566197994119e-08,-0.0165277699408441,-0.0903457122838152,1.99745314223139,0.00719846380598685,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.034145488738336,12.7253653207839,5.36356082867947e-08,-0.0161467552248663,-0.0903218473706948,1.99751403095155,0.00719634306678926,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0464158883361278,12.7253653207839,7.29099069033116e-08,-0.0158884034861804,-0.0902945748877285,1.99759692916044,0.00719387172413933,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0630957344480193,12.7253653207839,9.9110547907375e-08,-0.0157087522009394,-0.090267091463741,1.99770982845207,0.00719127578938781,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.0857695898590894,12.7253653207839,1.34726556701362e-07,-0.0155817304422919,-0.0902475381252115,1.99786362099553,0.00718916469605193,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.116591440117983,12.7253653207839,1.83141405873055e-07,-0.0154908940558787,-0.0902540372766329,1.99807310312135,0.00718892865274465,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.158489319246111,12.7253653207839,2.48954440508015e-07,-0.0154254174564561,-0.0903242951642282,1.99835820980543,0.00719349816240593,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.215443469003188,12.7253653207839,3.38417809742158e-07,-0.015377954912506,-0.0905335563340668,1.99874530685019,0.00720876670190842,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.292864456462524,12.7253653207839,4.60030412460116e-07,-0.0153434120087587,-0.0910271672888907,1.99926788202424,0.00724617416659174,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.398107170553497,12.7253653207839,6.25345281176143e-07,-0.0153181985637836,-0.0920763132669906,1.99996473073183,0.00732713272048759,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.541169526546464,12.7253653207839,8.50067104472518e-07,-0.015299756686736,-0.0941621703802882,2.00087096650257,0.00748971561716464,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,0.735642254459641,12.7253653207839,1.15554415114032e-06,-0.0152862465701295,-0.0980662630625593,2.00199259451151,0.00779586111812313,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,1,12.7253653207839,1.5707963267949e-06,-0.0152763385810336,-0.104853701075355,2.00325359471498,0.0083301514396858,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,1.35935639087853,12.7253653207839,2.13527202559716e-06,-0.0152690661173836,-0.115474478774428,2.00442619879741,0.00916849003480681,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,1.84784979742229,12.7253653207839,2.90259567425963e-06,-0.0152637250149161,-0.129760814961232,2.00512953486073,0.010299075166979,1
GFM-MWT,h_mp,h,mp,0.0251188643150958,2.51188643150958,12.7253653207839,3.94566197994119e-06,-0.0152598009730449,-0.145522786642325,2.00502976743032,0.0115505146945516,1
