Model,Scan,Value,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT+AD,K_damp,-7666666.66666667,-0.0154095632959625,-0.24610288038516,1.97914417469947,0.0197867452715754,1
GFM-MWT+AD,K_damp,-7500000,-0.0154066378125146,-0.242392469744499,1.97959963717493,0.0194840591304495,1
GFM-MWT+AD,K_damp,-7333333.33333333,-0.0154037134319707,-0.238688843037106,1.98005192769042,0.0191820825891134,1
GFM-MWT+AD,K_damp,-7166666.66666667,-0.0154007901699099,-0.234992077284425,1.98050108884283,0.0188808196071206,1
GFM-MWT+AD,K_damp,-7000000,-0.0153978680183038,-0.231302244811339,1.98094716260897,0.0185802738009706,1
GFM-MWT+AD,K_damp,-6833333.33333333,-0.0153949469762657,-0.227619413398293,1.98139019035329,0.0182804484560355,1
GFM-MWT+AD,K_damp,-6666666.66666667,-0.0153920270414748,-0.223943646461357,1.98183021283074,0.0179813465407623,1
GFM-MWT+AD,K_damp,-6500000,-0.0153891082208478,-0.220275003236556,1.98226727018918,0.0176829707212012,1
GFM-MWT+AD,K_damp,-6333333.33333333,-0.0153861905044245,-0.21661353894578,1.98270140197274,0.01738532337403,1
GFM-MWT+AD,K_damp,-6166666.66666667,-0.0153832738952666,-0.21295930494655,1.98313264712944,0.0170884065982311,1
GFM-MWT+AD,K_damp,-6000000,-0.0153803583909077,-0.209312348895851,1.98356104401369,0.0167922222279295,1
GFM-MWT+AD,K_damp,-5833333.33333333,-0.015377444002194,-0.205672714892224,1.98398663039283,0.0164967718434386,1
GFM-MWT+AD,K_damp,-5666666.66666667,-0.015374530714101,-0.202040443647089,1.98440944344919,0.0162020567846781,1
GFM-MWT+AD,K_damp,-5500000,-0.0153716185297492,-0.198415572583765,1.98482951979196,0.0159080781587007,1
GFM-MWT+AD,K_damp,-5333333.33333333,-0.0153687074535099,-0.194798135997118,1.98524689545896,0.0156148368521589,1
GFM-MWT+AD,K_damp,-5166666.66666667,-0.0153657974773753,-0.191188165179704,1.98566160592363,0.0153223335410322,1
GFM-MWT+AD,K_damp,-5000000,-0.0153628886073142,-0.187585688540729,1.98607368610333,0.0150305686997631,1
GFM-MWT+AD,K_damp,-4833333.33333333,-0.015359983835948,-0.183990730076579,1.98648317063917,0.0147395424763491,1
GFM-MWT+AD,K_damp,-4666666.66666667,-0.0153570771689576,-0.180403316163893,1.98689009279156,0.0144492552443351,1
GFM-MWT+AD,K_damp,-4500000,-0.0153541716028614,-0.17682346555434,1.98729448613264,0.0141597067883727,1
GFM-MWT+AD,K_damp,-4333333.33333333,-0.0153512671377026,-0.173251196288681,1.98769638341795,0.0138708968662135,1
GFM-MWT+AD,K_damp,-4166666.66666667,-0.0153483615824217,-0.169686525031293,1.98809581672134,0.0135828251538382,1
GFM-MWT+AD,K_damp,-4000000,-0.0153454593187444,-0.166129463340712,1.98849281808736,0.0132954909421417,1
GFM-MWT+AD,K_damp,-3833333.33333333,-0.0153425581535118,-0.162580023571147,1.98888741855844,0.013008893615648,1
GFM-MWT+AD,K_damp,-3666666.66666667,-0.0153396580856764,-0.159038215047823,1.98927964884362,0.0127230323413829,1
GFM-MWT+AD,K_damp,-3500000,-0.0153367591170761,-0.155504045145183,1.98966953915896,0.0124379061559438,1
GFM-MWT+AD,K_damp,-3333333.33333333,-0.015333861244074,-0.151977519375278,1.99005711923395,0.0121535139721795,1
GFM-MWT+AD,K_damp,-3166666.66666667,-0.0153309644681106,-0.148458641463189,1.99044241831953,0.0118698545848227,1
GFM-MWT+AD,K_damp,-3000000,-0.0153280687881048,-0.1449474134305,1.99082546519571,0.0115869266767699,1
GFM-MWT+AD,K_damp,-2833333.33333333,-0.0153251742036303,-0.14144383566824,1.99120628817815,0.0113047288245283,1
GFM-MWT+AD,K_damp,-2666666.66666667,-0.0153222807126647,-0.137947907011399,1.99158491512613,0.0110232595037803,1
GFM-MWT+AD,K_damp,-2500000,-0.0153193883168823,-0.134459624804575,1.99196137344958,0.0107425170942475,1
